timestamp,zone,flow_rate,pressure
2024-06-03 03:00,A1,13.63,2.88
2024-06-03 04:00,A1,14.64,2.88
2024-06-03 05:00,A1,14.74,2.87
2024-06-03 06:00,A1,14.4,2.93
2024-06-03 07:00,A1,16.14,2.98
2024-06-03 08:00,A1,15.22,2.93
2024-06-03 09:00,A1,13.08,2.87
2024-06-03 10:00,A1,13.58,2.85
2024-06-03 11:00,A1,15.57,2.88
2024-06-03 12:00,A1,14.58,2.9
2024-06-03 13:00,A1,13.37,2.82
2024-06-03 14:00,A1,13.08,2.93
2024-06-03 15:00,A1,13.18,2.95
2024-06-03 16:00,A1,14.91,2.94
2024-06-03 17:00,A1,15.25,2.86
2024-06-03 18:00,A1,14.2,2.94
2024-06-03 19:00,A1,15.58,2.89
2024-06-03 20:00,A1,14.17,2.9
2024-06-03 21:00,A1,14.63,2.87
2024-06-03 22:00,A1,14.6,2.87
2024-06-03 23:00,A1,14.02,2.91
2024-06-04 00:00,A1,13.88,2.93
2024-06-04 01:00,A1,14.87,2.86
2024-06-04 02:00,A1,15.12,2.87
2024-06-04 03:00,A1,14.02,2.95
2024-06-04 04:00,A1,13.12,2.88
2024-06-04 05:00,A1,13.11,2.94
2024-06-04 06:00,A1,13.85,2.91
2024-06-04 07:00,A1,15.86,2.84
2024-06-04 08:00,A1,14.06,2.95
2024-06-04 09:00,A1,14.51,2.88
2024-06-04 10:00,A1,13.91,2.91
2024-06-04 11:00,A1,14.81,2.89
2024-06-04 12:00,A1,13.43,2.89
2024-06-04 13:00,A1,14.66,2.9
2024-06-04 14:00,A1,13.4,2.94
2024-06-04 15:00,A1,15.52,2.86
2024-06-04 16:00,A1,16.04,3.08
2024-06-04 17:00,A1,14.21,2.99
2024-06-04 18:00,A1,16.77,3.0
2024-06-04 19:00,A1,14.77,2.85
2024-06-04 20:00,A1,14.08,2.85
2024-06-04 21:00,A1,14.67,2.89
2024-06-04 22:00,A1,15.11,2.81
2024-06-04 23:00,A1,13.84,2.93
2024-06-05 00:00,A1,14.97,2.99
2024-06-05 01:00,A1,14.72,2.87
2024-06-05 02:00,A1,13.61,2.92
2024-06-05 03:00,A1,15.09,3.04
2024-06-05 04:00,A1,16.36,2.91
2024-06-05 05:00,A1,14.66,2.83
2024-06-05 06:00,A1,14.83,2.93
2024-06-05 07:00,A1,14.47,2.98
2024-06-05 08:00,A1,13.88,2.88
2024-06-05 09:00,A1,13.19,2.99
2024-06-05 10:00,A1,16.83,2.91
2024-06-05 11:00,A1,14.85,2.92
2024-06-05 12:00,A1,13.69,2.93
2024-06-05 13:00,A1,14.91,2.91
2024-06-05 14:00,A1,13.76,2.92
2024-06-05 15:00,A1,13.18,2.96
2024-06-05 16:00,A1,12.89,2.91
2024-06-05 17:00,A1,12.21,2.79
2024-06-05 18:00,A1,13.61,2.9
2024-06-05 19:00,A1,13.92,2.94
2024-06-05 20:00,A1,15.57,2.94
2024-06-05 21:00,A1,15.19,2.96
2024-06-05 22:00,A1,12.63,2.86
2024-06-05 23:00,A1,13.66,2.94
2024-06-06 00:00,A1,14.7,2.92
2024-06-06 01:00,A1,14.82,2.93
2024-06-06 02:00,A1,14.98,2.94
2024-06-06 03:00,A1,13.08,2.95
2024-06-06 04:00,A1,14.68,2.85
2024-06-06 05:00,A1,14.67,2.89
2024-06-06 06:00,A1,13.33,2.96
2024-06-06 07:00,A1,13.19,2.93
2024-06-06 08:00,A1,12.98,2.91
2024-06-06 09:00,A1,14.83,2.88
2024-06-06 10:00,A1,14.55,2.89
2024-06-06 11:00,A1,14.26,2.92
2024-06-06 12:00,A1,14.66,2.85
2024-06-06 13:00,A1,12.76,2.89
2024-06-06 14:00,A1,15.01,2.84
2024-06-06 15:00,A1,14.71,2.83
2024-06-06 16:00,A1,15.14,2.92
2024-06-06 17:00,A1,13.87,2.92
2024-06-06 18:00,A1,14.57,2.99
2024-06-06 19:00,A1,16.38,3.01
2024-06-06 20:00,A1,14.2,2.96
2024-06-06 21:00,A1,14.44,2.89
2024-06-06 22:00,A1,13.54,2.91
2024-06-06 23:00,A1,15.32,2.96
2024-06-07 00:00,A1,14.16,2.93
2024-06-07 01:00,A1,14.98,2.94
2024-06-07 02:00,A1,15.22,2.97
2024-06-07 03:00,A1,13.87,2.89
2024-06-07 04:00,A1,13.91,2.81
2024-06-07 05:00,A1,13.08,2.96
2024-06-07 06:00,A1,15.45,2.94
2024-06-07 07:00,A1,14.2,2.93
2024-06-07 08:00,A1,12.32,2.98
2024-06-07 09:00,A1,16.14,2.91
2024-06-07 10:00,A1,14.02,2.96
2024-06-07 11:00,A1,14.68,2.89
2024-06-07 12:00,A1,14.54,2.85
2024-06-07 13:00,A1,12.66,2.85
2024-06-07 14:00,A1,12.22,2.82
2024-06-07 15:00,A1,14.5,2.89
2024-06-07 16:00,A1,14.8,2.87
2024-06-07 17:00,A1,12.13,2.94
2024-06-07 18:00,A1,13.14,2.91
2024-06-07 19:00,A1,13.79,2.94
2024-06-07 20:00,A1,13.66,2.94
2024-06-07 21:00,A1,15.1,2.93
2024-06-07 22:00,A1,12.64,2.99
2024-06-07 23:00,A1,14.43,2.95
2024-06-01 00:00,B2,13.93,3.06
2024-06-01 01:00,B2,13.43,3.21
2024-06-01 02:00,B2,13.49,3.16
2024-06-01 03:00,B2,12.83,3.13
2024-06-01 04:00,B2,13.8,3.11
2024-06-01 05:00,B2,14.29,3.05
2024-06-01 06:00,B2,16.29,3.09
2024-06-01 07:00,B2,15.22,3.15
2024-06-01 08:00,B2,14.84,3.12
2024-06-01 09:00,B2,14.03,3.19
2024-06-01 10:00,B2,13.24,3.14
2024-06-01 11:00,B2,13.81,3.15
2024-06-01 12:00,B2,13.85,3.08
2024-06-01 13:00,B2,14.27,3.18
2024-06-01 14:00,B2,13.47,3.1
2024-06-01 15:00,B2,14.79,3.2
2024-06-01 16:00,B2,13.77,3.13
2024-06-01 17:00,B2,13.69,3.07
2024-06-01 18:00,B2,14.3,3.07
2024-06-01 19:00,B2,15.2,3.11
2024-06-01 20:00,B2,13.5,3.11
2024-06-01 21:00,B2,14.31,3.14
2024-06-01 22:00,B2,15.17,3.1
2024-06-01 23:00,B2,14.28,3.12
2024-06-02 00:00,B2,15.09,3.18
2024-06-02 01:00,B2,14.3,3.17
2024-06-02 02:00,B2,14.92,3.14
2024-06-02 03:00,B2,12.35,3.17
2024-06-02 04:00,B2,15.32,3.07
2024-06-02 05:00,B2,13.74,3.17
2024-06-02 06:00,B2,14.65,3.12
2024-06-02 07:00,B2,13.93,3.2
2024-06-02 08:00,B2,13.93,3.12
2024-06-02 09:00,B2,14.85,3.17
2024-06-02 10:00,B2,14.43,3.04
2024-06-02 11:00,B2,13.05,3.08
2024-06-02 12:00,B2,14.87,3.24
2024-06-02 13:00,B2,15.29,3.11
2024-06-02 14:00,B2,14.32,3.12
2024-06-02 15:00,B2,13.61,3.14
2024-06-02 16:00,B2,14.14,3.14
2024-06-02 17:00,B2,14.24,3.1
2024-06-02 18:00,B2,15.91,3.06
2024-06-02 19:00,B2,13.2,3.02
2024-06-02 20:00,B2,13.93,3.18
2024-06-02 21:00,B2,14.11,3.12
2024-06-02 22:00,B2,13.93,3.12
2024-06-02 23:00,B2,12.52,3.05
2024-06-03 00:00,B2,13.86,3.07
2024-06-03 01:00,B2,14.91,3.23
2024-06-03 02:00,B2,13.53,3.16
2024-06-03 03:00,B2,14.53,3.18
2024-06-03 04:00,B2,12.94,3.17
2024-06-03 05:00,B2,14.63,3.15
2024-06-03 06:00,B2,14.49,3.13
2024-06-03 07:00,B2,13.73,3.17
2024-06-03 08:00,B2,14.45,3.04
2024-06-03 09:00,B2,11.74,3.12
2024-06-03 10:00,B2,13.4,3.14
2024-06-03 11:00,B2,14.06,3.18
2024-06-03 12:00,B2,16.65,3.07
2024-06-03 13:00,B2,14.62,3.11
2024-06-03 14:00,B2,14.8,3.14
2024-06-03 15:00,B2,14.85,3.15
2024-06-03 16:00,B2,13.78,3.12
2024-06-03 17:00,B2,12.13,3.21
2024-06-03 18:00,B2,14.43,3.17
2024-06-03 19:00,B2,13.28,3.14
2024-06-03 20:00,B2,11.67,3.26
2024-06-03 21:00,B2,14.15,3.14
2024-06-03 22:00,B2,13.55,3.02
2024-06-03 23:00,B2,14.84,3.17
2024-06-04 00:00,B2,15.23,3.15
2024-06-04 01:00,B2,14.06,3.08
2024-06-04 02:00,B2,16.18,3.14
2024-06-04 03:00,B2,14.55,3.07
2024-06-04 04:00,B2,13.95,3.12
2024-06-04 05:00,B2,12.74,3.19
2024-06-04 06:00,B2,13.88,3.07
2024-06-04 07:00,B2,14.57,3.08
2024-06-04 08:00,B2,14.86,3.15
2024-06-04 09:00,B2,12.75,3.07
2024-06-04 10:00,B2,14.12,3.08
2024-06-04 11:00,B2,13.55,3.08
2024-06-04 12:00,B2,13.09,3.08
2024-06-04 13:00,B2,14.6,3.11
2024-06-04 14:00,B2,15.18,3.14
2024-06-04 15:00,B2,13.93,3.06
2024-06-04 16:00,B2,14.02,3.18
2024-06-04 17:00,B2,14.99,3.15
2024-06-04 18:00,B2,14.02,3.08
2024-06-04 19:00,B2,14.37,3.23
2024-06-04 20:00,B2,14.84,3.04
2024-06-04 21:00,B2,14.4,3.03
2024-06-04 22:00,B2,14.5,3.09
2024-06-04 23:00,B2,16.01,3.05
2024-06-05 00:00,B2,11.37,3.08
2024-06-05 01:00,B2,15.32,3.16
2024-06-05 02:00,B2,12.41,3.14
2024-06-05 03:00,B2,15.06,3.14
2024-06-05 04:00,B2,12.43,3.09
2024-06-05 05:00,B2,13.77,3.01
2024-06-05 06:00,B2,13.31,3.22
2024-06-05 07:00,B2,13.65,3.11
2024-06-05 08:00,B2,14.95,3.18
2024-06-05 09:00,B2,13.22,3.12
2024-06-05 10:00,B2,15.08,3.12
2024-06-05 11:00,B2,14.6,3.14
2024-06-05 12:00,B2,14.65,3.04
2024-06-05 13:00,B2,12.16,3.1
2024-06-05 14:00,B2,11.45,3.14
2024-06-05 15:00,B2,14.96,3.16
2024-06-05 16:00,B2,14.92,3.11
2024-06-05 17:00,B2,14.56,3.09
2024-06-05 18:00,B2,14.34,3.1
2024-06-05 19:00,B2,15.29,3.09
2024-06-05 20:00,B2,15.56,3.15
2024-06-05 21:00,B2,12.83,3.16
2024-06-05 22:00,B2,15.59,3.09
2024-06-05 23:00,B2,14.21,3.11
2024-06-06 00:00,B2,14.17,3.18
2024-06-06 01:00,B2,14.43,3.12
2024-06-06 02:00,B2,13.48,3.06
2024-06-06 03:00,B2,15.63,3.18
2024-06-06 04:00,B2,13.66,3.11
2024-06-06 05:00,B2,14.74,3.08
2024-06-06 06:00,B2,14.22,3.04
2024-06-06 07:00,B2,13.13,3.15
2024-06-06 08:00,B2,12.79,3.1
2024-06-06 09:00,B2,13.46,3.17
2024-06-06 10:00,B2,15.34,3.13
2024-06-06 11:00,B2,14.39,3.17
2024-06-06 12:00,B2,15.11,3.2
2024-06-06 13:00,B2,14.55,2.97
2024-06-06 14:00,B2,13.42,3.06
2024-06-06 15:00,B2,13.08,3.02
2024-06-06 16:00,B2,14.23,3.18
2024-06-06 17:00,B2,13.32,3.21
2024-06-06 18:00,B2,14.14,3.15
2024-06-06 19:00,B2,13.94,3.08
2024-06-06 20:00,B2,13.47,3.18
2024-06-06 21:00,B2,14.35,3.15
2024-06-06 22:00,B2,14.27,3.11
2024-06-06 23:00,B2,14.48,3.08
2024-06-07 00:00,B2,13.48,3.15
2024-06-07 01:00,B2,13.35,3.19
2024-06-07 02:00,B2,15.43,3.12
2024-06-07 03:00,B2,14.17,3.21
2024-06-07 04:00,B2,13.03,3.16
2024-06-07 05:00,B2,14.11,3.05
2024-06-07 06:00,B2,15.08,3.15
2024-06-07 07:00,B2,13.75,3.03
2024-06-07 08:00,B2,15.3,3.13
2024-06-07 09:00,B2,15.13,3.08
2024-06-07 10:00,B2,15.22,3.11
2024-06-07 11:00,B2,13.9,3.15
2024-06-07 12:00,B2,14.43,3.15
2024-06-07 13:00,B2,14.23,3.1
2024-06-07 14:00,B2,14.49,3.05
2024-06-07 15:00,B2,16.92,3.17
2024-06-07 16:00,B2,15.61,3.1
2024-06-07 17:00,B2,12.49,3.2
2024-06-07 18:00,B2,14.19,3.16
2024-06-07 19:00,B2,13.8,3.11
2024-06-07 20:00,B2,14.32,3.17
2024-06-07 21:00,B2,14.67,3.1
2024-06-07 22:00,B2,15.17,3.14
2024-06-07 23:00,B2,13.28,3.11
2024-06-01 00:00,C3,14.9,2.83
2024-06-01 01:00,C3,15.73,2.76
2024-06-01 02:00,C3,15.58,2.76
2024-06-01 03:00,C3,15.91,2.82
2024-06-01 04:00,C3,15.08,2.83
2024-06-01 05:00,C3,14.55,2.68
2024-06-01 06:00,C3,15.87,2.77
2024-06-01 07:00,C3,13.66,2.83
2024-06-01 08:00,C3,16.1,2.78
2024-06-01 09:00,C3,16.12,2.73
2024-06-01 10:00,C3,14.57,2.76
2024-06-01 11:00,C3,14.9,2.75
2024-06-01 12:00,C3,17.33,2.82
2024-06-01 13:00,C3,15.6,2.76
2024-06-01 14:00,C3,14.77,2.76
2024-06-01 15:00,C3,13.47,2.82
2024-06-01 16:00,C3,16.41,2.79
2024-06-01 17:00,C3,16.31,2.78
2024-06-01 18:00,C3,15.21,2.84
2024-06-01 19:00,C3,16.31,2.76
2024-06-01 20:00,C3,16.55,2.77
2024-06-01 21:00,C3,17.67,2.82
2024-06-01 22:00,C3,14.26,2.79
2024-06-01 23:00,C3,14.55,2.82
2024-06-02 00:00,C3,15.19,2.73
2024-06-02 01:00,C3,15.15,2.77
2024-06-02 02:00,C3,14.85,2.82
2024-06-02 03:00,C3,16.58,2.86
2024-06-02 04:00,C3,14.97,2.69
2024-06-02 05:00,C3,15.76,2.83
2024-06-02 06:00,C3,17.67,2.81
2024-06-02 07:00,C3,16.74,2.84
2024-06-02 08:00,C3,14.86,2.84
2024-06-02 09:00,C3,14.73,2.76
2024-06-02 10:00,C3,15.18,2.8
2024-06-02 11:00,C3,15.48,2.74
2024-06-02 12:00,C3,16.17,2.78
2024-06-02 13:00,C3,13.89,2.9
2024-06-02 14:00,C3,13.76,2.85
2024-06-02 15:00,C3,14.75,2.82
2024-06-02 16:00,C3,15.92,2.79
2024-06-02 17:00,C3,15.73,2.67
2024-06-02 18:00,C3,14.97,2.76
2024-06-02 19:00,C3,15.72,2.82
2024-06-02 20:00,C3,16.49,2.73
2024-06-02 21:00,C3,15.03,2.73
2024-06-02 22:00,C3,16.82,2.75
2024-06-02 23:00,C3,16.73,2.83
2024-06-03 00:00,C3,14.33,2.94
2024-06-03 01:00,C3,14.48,2.79
2024-06-03 02:00,C3,15.02,2.77
2024-06-03 03:00,C3,16.42,2.82
2024-06-03 04:00,C3,16.09,2.73
2024-06-03 05:00,C3,14.3,2.77
2024-06-03 06:00,C3,15.52,2.85
2024-06-03 07:00,C3,15.2,2.76
2024-06-03 08:00,C3,15.78,2.77
2024-06-03 09:00,C3,16.4,2.76
2024-06-03 10:00,C3,15.73,2.86
2024-06-03 11:00,C3,16.27,2.7
2024-06-03 12:00,C3,15.19,2.82
2024-06-03 13:00,C3,16.04,2.81
2024-06-03 14:00,C3,18.43,2.86
2024-06-03 15:00,C3,14.73,2.75
2024-06-03 16:00,C3,14.67,2.7
2024-06-03 17:00,C3,14.79,2.8
2024-06-03 18:00,C3,14.62,2.87
2024-06-03 19:00,C3,14.88,2.81
2024-06-03 20:00,C3,14.91,2.76
2024-06-03 21:00,C3,15.31,2.74
2024-06-03 22:00,C3,15.97,2.8
2024-06-03 23:00,C3,15.74,2.91
2024-06-04 00:00,C3,16.0,2.83
2024-06-04 01:00,C3,15.18,2.79
2024-06-04 02:00,C3,16.37,2.83
2024-06-04 03:00,C3,16.66,2.89
2024-06-04 04:00,C3,15.77,2.78
2024-06-04 05:00,C3,16.45,2.81
2024-06-04 06:00,C3,14.84,2.73
2024-06-04 07:00,C3,15.34,2.85
2024-06-04 08:00,C3,15.12,2.82
2024-06-04 09:00,C3,15.74,2.76
2024-06-04 10:00,C3,15.81,2.81
2024-06-04 11:00,C3,15.77,2.74
2024-06-04 12:00,C3,15.5,2.83
2024-06-04 13:00,C3,15.65,2.88
2024-06-04 14:00,C3,16.76,2.92
2024-06-04 15:00,C3,16.13,2.8
2024-06-04 16:00,C3,15.11,2.78
2024-06-04 17:00,C3,15.51,2.84
2024-06-04 18:00,C3,16.49,2.79
2024-06-04 19:00,C3,16.04,2.72
2024-06-04 20:00,C3,15.08,2.71
2024-06-04 21:00,C3,15.14,2.75
2024-06-04 22:00,C3,16.37,2.86
2024-06-04 23:00,C3,15.23,2.77
2024-06-05 00:00,C3,16.25,2.83
2024-06-05 01:00,C3,15.9,2.78
2024-06-05 02:00,C3,15.86,2.78
2024-06-05 03:00,C3,13.72,2.78
2024-06-05 04:00,C3,15.95,2.81
2024-06-05 05:00,C3,15.63,2.89
2024-06-05 06:00,C3,16.19,2.83
2024-06-05 07:00,C3,14.66,2.75
2024-06-05 08:00,C3,16.4,2.74
2024-06-05 09:00,C3,15.46,2.82
2024-06-05 10:00,C3,15.32,2.78
2024-06-05 11:00,C3,15.56,2.8
2024-06-05 12:00,C3,13.17,2.87
2024-06-05 13:00,C3,16.04,2.81
2024-06-05 14:00,C3,14.62,2.74
2024-06-05 15:00,C3,15.3,2.87
2024-06-05 16:00,C3,15.08,2.74
2024-06-05 17:00,C3,16.36,2.74
2024-06-05 18:00,C3,14.29,2.76
2024-06-05 19:00,C3,16.21,2.77
2024-06-05 20:00,C3,15.22,2.75
2024-06-05 21:00,C3,15.96,2.88
2024-06-05 22:00,C3,16.56,2.82
2024-06-05 23:00,C3,11.85,2.8
2024-06-06 00:00,C3,16.34,2.8
2024-06-06 01:00,C3,15.51,2.84
2024-06-06 02:00,C3,15.93,2.75
2024-06-06 03:00,C3,15.61,2.74
2024-06-06 04:00,C3,16.35,2.82
2024-06-06 05:00,C3,14.59,2.82
2024-06-06 06:00,C3,14.4,2.73
2024-06-06 07:00,C3,15.57,2.77
2024-06-06 08:00,C3,14.95,2.8
2024-06-06 09:00,C3,16.12,2.76
2024-06-06 10:00,C3,16.45,2.8
2024-06-06 11:00,C3,16.21,2.83
2024-06-06 12:00,C3,14.73,2.8
2024-06-06 13:00,C3,14.49,2.79
2024-06-06 14:00,C3,14.35,2.83
2024-06-06 15:00,C3,15.82,2.72
2024-06-06 16:00,C3,15.76,2.89
2024-06-06 17:00,C3,16.05,2.82
2024-06-06 18:00,C3,16.69,2.76
2024-06-06 19:00,C3,16.4,2.76
2024-06-06 20:00,C3,15.67,2.74
2024-06-06 21:00,C3,16.26,2.87
2024-06-06 22:00,C3,16.66,2.71
2024-06-06 23:00,C3,13.21,2.74
2024-06-07 00:00,C3,17.08,2.8
2024-06-07 01:00,C3,13.92,2.8
2024-06-07 02:00,C3,14.77,2.76
2024-06-07 03:00,C3,15.29,2.81
2024-06-07 04:00,C3,14.24,2.75
2024-06-07 05:00,C3,16.23,2.83
2024-06-07 06:00,C3,15.91,2.76
2024-06-07 07:00,C3,14.47,2.72
2024-06-07 08:00,C3,14.03,2.8
2024-06-07 09:00,C3,15.47,2.81
2024-06-07 10:00,C3,16.32,2.8
2024-06-07 11:00,C3,14.01,2.85
2024-06-07 12:00,C3,16.38,2.75
2024-06-07 13:00,C3,15.59,2.77
2024-06-07 14:00,C3,16.01,2.75
2024-06-07 15:00,C3,16.2,2.76
2024-06-07 16:00,C3,15.79,2.77
2024-06-07 17:00,C3,15.28,2.79
2024-06-07 18:00,C3,14.99,2.82
2024-06-07 19:00,C3,16.12,2.83
2024-06-07 20:00,C3,16.29,2.86
2024-06-07 21:00,C3,13.47,2.71
2024-06-07 22:00,C3,15.7,2.8
2024-06-07 23:00,C3,14.84,2.74
2024-06-01 00:00,D4,16.52,2.99
2024-06-01 01:00,D4,17.24,2.94
2024-06-01 02:00,D4,16.66,2.97
2024-06-01 03:00,D4,17.05,2.89
2024-06-01 04:00,D4,16.79,2.93
2024-06-01 05:00,D4,16.12,2.94
2024-06-01 06:00,D4,16.68,2.9
2024-06-01 07:00,D4,16.19,2.93
2024-06-01 08:00,D4,18.05,3.06
2024-06-01 09:00,D4,16.02,2.93
2024-06-01 10:00,D4,17.24,2.92
2024-06-01 11:00,D4,16.57,2.98
2024-06-01 12:00,D4,16.36,2.89
2024-06-01 13:00,D4,17.3,2.96
2024-06-01 14:00,D4,17.26,2.93
2024-06-01 15:00,D4,15.28,2.97
2024-06-01 16:00,D4,15.73,2.88
2024-06-01 17:00,D4,14.51,3.11
2024-06-01 18:00,D4,16.46,2.96
2024-06-01 19:00,D4,16.09,3.01
2024-06-01 20:00,D4,16.42,2.94
2024-06-01 21:00,D4,15.54,3.04
2024-06-01 22:00,D4,16.3,2.94
2024-06-01 23:00,D4,15.8,2.97
2024-06-02 00:00,D4,16.57,2.97
2024-06-02 01:00,D4,18.0,3.0
2024-06-02 02:00,D4,17.67,2.92
2024-06-02 03:00,D4,16.83,2.92
2024-06-02 04:00,D4,16.38,3.01
2024-06-02 05:00,D4,16.06,2.98
2024-06-02 06:00,D4,18.4,2.9
2024-06-02 07:00,D4,17.55,2.97
2024-06-02 08:00,D4,16.52,2.94
2024-06-02 09:00,D4,17.71,2.92
2024-06-02 10:00,D4,15.69,2.93
2024-06-02 11:00,D4,17.7,2.98
2024-06-02 12:00,D4,17.23,2.86
2024-06-02 13:00,D4,17.72,2.97
2024-06-02 14:00,D4,18.84,2.87
2024-06-02 15:00,D4,14.78,2.94
2024-06-02 16:00,D4,15.8,2.95
2024-06-02 17:00,D4,16.19,3.0
2024-06-02 18:00,D4,17.88,2.98
2024-06-02 19:00,D4,16.93,3.02
2024-06-02 20:00,D4,16.51,2.96
2024-06-02 21:00,D4,16.23,2.93
2024-06-02 22:00,D4,15.43,2.97
2024-06-02 23:00,D4,15.22,2.93
2024-06-03 00:00,D4,16.73,3.02
2024-06-03 01:00,D4,17.96,3.03
2024-06-03 02:00,D4,19.1,3.0
2024-06-03 03:00,D4,16.64,2.89
2024-06-03 04:00,D4,15.8,2.98
2024-06-03 05:00,D4,16.88,2.96
2024-06-03 06:00,D4,17.41,2.98
2024-06-03 07:00,D4,15.53,3.01
2024-06-03 08:00,D4,17.61,3.0
2024-06-03 09:00,D4,17.31,3.0
2024-06-03 10:00,D4,16.53,2.97
2024-06-03 11:00,D4,15.88,3.01
2024-06-03 12:00,D4,16.98,2.96
2024-06-03 13:00,D4,18.78,2.86
2024-06-03 14:00,D4,17.38,3.06
2024-06-03 15:00,D4,17.78,2.97
2024-06-03 16:00,D4,16.95,2.97
2024-06-03 17:00,D4,16.35,2.92
2024-06-03 18:00,D4,15.0,2.94
2024-06-03 19:00,D4,15.34,2.96
2024-06-03 20:00,D4,16.15,2.97
2024-06-03 21:00,D4,17.79,2.92
2024-06-03 22:00,D4,15.17,2.98
2024-06-03 23:00,D4,18.23,3.01
2024-06-04 00:00,D4,16.18,2.96
2024-06-04 01:00,D4,17.81,2.94
2024-06-04 02:00,D4,15.66,2.93
2024-06-04 03:00,D4,17.6,2.93
2024-06-04 04:00,D4,16.13,2.89
2024-06-04 05:00,D4,17.39,3.02
2024-06-04 06:00,D4,15.29,2.9
2024-06-04 07:00,D4,17.32,2.98
2024-06-04 08:00,D4,15.59,2.9
2024-06-04 09:00,D4,16.82,2.99
2024-06-04 10:00,D4,17.08,2.95
2024-06-04 11:00,D4,17.19,2.98
2024-06-04 12:00,D4,15.93,2.92
2024-06-04 13:00,D4,16.92,3.04
2024-06-04 14:00,D4,16.91,2.88
2024-06-04 15:00,D4,14.96,2.88
2024-06-04 16:00,D4,15.86,2.94
2024-06-04 17:00,D4,16.35,2.89
2024-06-04 18:00,D4,17.0,3.01
2024-06-04 19:00,D4,17.23,3.01
2024-06-04 20:00,D4,15.81,2.94
2024-06-04 21:00,D4,17.12,2.94
2024-06-04 22:00,D4,15.68,3.03
2024-06-04 23:00,D4,17.18,2.96
2024-06-05 00:00,D4,15.69,2.96
2024-06-05 01:00,D4,15.79,2.93
2024-06-05 02:00,D4,17.14,2.87
2024-06-05 03:00,D4,15.42,3.02
2024-06-05 04:00,D4,16.49,2.99
2024-06-05 05:00,D4,18.34,3.08
2024-06-05 06:00,D4,17.15,2.91
2024-06-05 07:00,D4,16.22,2.94
2024-06-05 08:00,D4,14.49,3.04
2024-06-05 09:00,D4,15.61,2.85
2024-06-05 10:00,D4,16.21,2.95
2024-06-05 11:00,D4,15.85,3.06
2024-06-05 12:00,D4,16.24,2.99
2024-06-05 13:00,D4,17.03,2.97
2024-06-05 14:00,D4,16.8,2.96
2024-06-05 15:00,D4,16.64,2.91
2024-06-05 16:00,D4,16.86,3.05
2024-06-05 17:00,D4,16.43,3.02
2024-06-05 18:00,D4,16.55,2.88
2024-06-05 19:00,D4,16.6,2.91
2024-06-05 20:00,D4,17.12,2.95
2024-06-05 21:00,D4,16.35,3.07
2024-06-05 22:00,D4,16.9,2.9
2024-06-05 23:00,D4,17.84,2.9
2024-06-06 00:00,D4,16.97,2.9
2024-06-06 01:00,D4,17.29,2.9
2024-06-06 02:00,D4,17.48,3.01
2024-06-06 03:00,D4,16.93,2.95
2024-06-06 04:00,D4,17.11,3.01
2024-06-06 05:00,D4,15.59,3.0
2024-06-06 06:00,D4,16.54,2.98
2024-06-06 07:00,D4,17.35,2.98
2024-06-06 08:00,D4,15.27,2.98
2024-06-06 09:00,D4,15.56,2.86
